rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
3;swsh2;Clash des Rebelles;01/05/2020;Rebel Clash;01/05/2020;;;192;;;https://www.pokecardex.com/assets/images/logos/SWSH2.png;https://images.pokemontcg.io/swsh2/logo.png;https://images.pokemontcg.io/swsh2/symbol.png;SS
2;swsh1;Épée et Bouclier;07/02/2020;Sword & Shield;07/02/2020;;;202;;;https://www.pokecardex.com/assets/images/logos/SWSH1.png;https://images.pokemontcg.io/swsh1/logo.png;https://images.pokemontcg.io/swsh1/symbol.png;SS
1;swshp;Épée et Bouclier Promos;07/02/2020;Sword & Shield;07/02/2020;;;307;307;promo;;;;
16;sm12;Éclipse Cosmique;01/11/2019;Cosmic Eclipse;01/11/2019;;;236;;;https://www.pokecardex.com/assets/images/logos/SM12.png;https://images.pokemontcg.io/sm12/logo.png;https://images.pokemontcg.io/sm12/symbol.png;SM
15;sm115;Destinées Occultes;23/08/2019;Hidden Fates;23/08/2019;;;68;;;https://www.pokecardex.com/assets/images/logos/SM115.png;https://images.pokemontcg.io/sm115/logo.png;https://images.pokemontcg.io/sm115/symbol.png;SM
14;sm11;Harmonie des Esprits;02/08/2019;Unified Minds;02/08/2019;;;236;;;https://www.pokecardex.com/assets/images/logos/SM11.png;https://images.pokemontcg.io/sm11/logo.png;https://images.pokemontcg.io/sm11/symbol.png;SM
13;sm10;Alliance Infaillible;03/05/2019;Unbroken Bonds;03/05/2019;;;214;;;https://www.pokecardex.com/assets/images/logos/SM10.png;https://images.pokemontcg.io/sm10/logo.png;https://images.pokemontcg.io/sm10/symbol.png;SM
12;sm9;Duo de Choc;01/02/2019;Team Up;01/02/2019;;;181;;;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/sm_series/sm09/sm09_logo_169_fr.png;https://images.pokemontcg.io/sm9/logo.png;https://images.pokemontcg.io/sm9/symbol.png;SM
11;sm8;Tonnerre Perdu;02/11/2018;Lost Thunder;02/11/2018;;;214;;;https://www.pokecardex.com/assets/images/logos/SM08.png;https://images.pokemontcg.io/sm8/logo.png;https://images.pokemontcg.io/sm8/symbol.png;SM
10;sm75;Majesté des Dragons;07/09/2018;Dragon Majesty;07/09/2018;;;70;;;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/sm_series/sm075/sm075_logo_169_fr.png;https://images.pokemontcg.io/sm75/logo.png;https://images.pokemontcg.io/sm75/symbol.png;SM
